cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
9990011463911	F	20	에스프레소 베리에이션	14.0	0.0	0.0	8.0	8.0	2.0	0.0	0.0
9990011463911	F	20	음료	4.0	0.0	0.0	8.0	8.0	2.0	0.0	0.0
1000000061231	F	40	에스프레소 베리에이션	23.0	0.0	8.0	10.0	11.0	0.0	0.0	0.0
1000000061231	F	40	음료	6.0	0.0	8.0	10.0	11.0	0.0	0.0	0.0
1000001180029	M	40	에스프레소 베리에이션	27.0	0.0	2.0	7.0	18.0	0.0	0.0	0.0
1000000760997	F	30	에스프레소 베리에이션	90.0	0.0	87.0	0.0	13.0	0.0	0.0	0.0
1000000760997	F	30	음료	8.0	0.0	87.0	0.0	13.0	0.0	0.0	0.0
1000000760997	F	30	티 베리에이션	2.0	0.0	87.0	0.0	13.0	0.0	0.0	0.0
9990017780339	F	20	에스프레소 베리에이션	31.0	0.0	4.0	16.0	30.0	22.0	2.0	0.0
9990017780339	F	20	음료	19.0	0.0	4.0	16.0	30.0	22.0	2.0	0.0
9990017780339	F	20	티 베리에이션	24.0	0.0	4.0	16.0	30.0	22.0	2.0	0.0
1000000914343	M	20	에스프레소 베리에이션	13.0	0.0	7.0	7.0	4.0	5.0	4.0	0.0
1000000914343	M	20	음료	9.0	0.0	7.0	7.0	4.0	5.0	4.0	0.0
1000000914343	M	20	티 베리에이션	5.0	0.0	7.0	7.0	4.0	5.0	4.0	0.0
9990005430390	M	50	에스프레소 베리에이션	9.0	0.0	18.0	0.0	3.0	7.0	0.0	0.0
9990005430390	M	50	음료	9.0	0.0	18.0	0.0	3.0	7.0	0.0	0.0
9990005430390	M	50	티 베리에이션	10.0	0.0	18.0	0.0	3.0	7.0	0.0	0.0
9990013137569	M	30	에스프레소 베리에이션	19.0	0.0	0.0	3.0	0.0	10.0	7.0	0.0
9990013137569	M	30	음료	1.0	0.0	0.0	3.0	0.0	10.0	7.0	0.0
1000001356588	F	40	에스프레소 베리에이션	14.0	1.0	5.0	9.0	3.0	2.0	2.0	0.0
1000001356588	F	40	음료	3.0	1.0	5.0	9.0	3.0	2.0	2.0	0.0
